order_id,order_date,marketplace,sku,product_name,qty,selling_price,cost_price,commission_percent,shipping_cost,revenue,product_cost,commission_cost,shipping_total,profit
ORD00001,2026-01-12,Meesho,VV014,"VibeVastr Tee 14",2,799.00,392.00,15.00,55.00,1598.00,784.00,239.70000000,110.00,464.30000000
ORD00002,2026-01-05,Meesho,VV024,"VibeVastr Tee 24",3,899.00,252.00,15.00,55.00,2697.00,756.00,404.55000000,165.00,1371.45000000
ORD00003,2026-01-18,Flipkart,VV026,"VibeVastr Tee 26",2,899.00,275.00,20.00,70.00,1798.00,550.00,359.60000000,140.00,748.40000000
ORD00004,2026-02-17,Amazon,VV021,"VibeVastr Tee 21",3,899.00,260.00,18.00,65.00,2697.00,780.00,485.46000000,195.00,1236.54000000
ORD00005,2026-06-05,Flipkart,VV015,"VibeVastr Tee 15",3,899.00,373.00,20.00,70.00,2697.00,1119.00,539.40000000,210.00,828.60000000
ORD00006,2026-06-05,Flipkart,VV018,"VibeVastr Tee 18",2,899.00,335.00,20.00,70.00,1798.00,670.00,359.60000000,140.00,628.40000000
ORD00007,2026-06-29,Flipkart,VV023,"VibeVastr Tee 23",2,899.00,306.00,20.00,70.00,1798.00,612.00,359.60000000,140.00,686.40000000
ORD00008,2026-04-11,Amazon,VV006,"VibeVastr Tee 6",3,999.00,358.00,18.00,65.00,2997.00,1074.00,539.46000000,195.00,1188.54000000
ORD00009,2026-06-22,Meesho,VV016,"VibeVastr Tee 16",2,799.00,287.00,15.00,55.00,1598.00,574.00,239.70000000,110.00,674.30000000
ORD00010,2026-04-05,Amazon,VV008,"VibeVastr Tee 8",1,799.00,371.00,18.00,65.00,799.00,371.00,143.82000000,65.00,219.18000000
ORD00011,2026-02-21,Amazon,VV008,"VibeVastr Tee 8",3,799.00,371.00,18.00,65.00,2397.00,1113.00,431.46000000,195.00,657.54000000
ORD00012,2026-03-10,Meesho,VV015,"VibeVastr Tee 15",2,899.00,373.00,15.00,55.00,1798.00,746.00,269.70000000,110.00,672.30000000
ORD00013,2026-06-18,Meesho,VV028,"VibeVastr Tee 28",3,999.00,420.00,15.00,55.00,2997.00,1260.00,449.55000000,165.00,1122.45000000
ORD00014,2026-03-28,Amazon,VV027,"VibeVastr Tee 27",3,699.00,366.00,18.00,65.00,2097.00,1098.00,377.46000000,195.00,426.54000000
ORD00015,2026-04-10,Amazon,VV003,"VibeVastr Tee 3",2,999.00,284.00,18.00,65.00,1998.00,568.00,359.64000000,130.00,940.36000000
ORD00016,2026-03-21,Meesho,VV011,"VibeVastr Tee 11",1,799.00,441.00,15.00,55.00,799.00,441.00,119.85000000,55.00,183.15000000
ORD00017,2026-04-16,Meesho,VV029,"VibeVastr Tee 29",3,999.00,448.00,15.00,55.00,2997.00,1344.00,449.55000000,165.00,1038.45000000
ORD00018,2026-06-12,Amazon,VV006,"VibeVastr Tee 6",1,999.00,358.00,18.00,65.00,999.00,358.00,179.82000000,65.00,396.18000000
ORD00019,2026-02-23,Meesho,VV028,"VibeVastr Tee 28",2,999.00,420.00,15.00,55.00,1998.00,840.00,299.70000000,110.00,748.30000000
ORD00020,2026-02-11,Amazon,VV030,"VibeVastr Tee 30",1,899.00,330.00,18.00,65.00,899.00,330.00,161.82000000,65.00,342.18000000
ORD00021,2026-02-18,Flipkart,VV018,"VibeVastr Tee 18",2,899.00,335.00,20.00,70.00,1798.00,670.00,359.60000000,140.00,628.40000000
ORD00022,2026-04-06,Meesho,VV023,"VibeVastr Tee 23",3,899.00,306.00,15.00,55.00,2697.00,918.00,404.55000000,165.00,1209.45000000
ORD00023,2026-05-29,Meesho,VV022,"VibeVastr Tee 22",2,899.00,385.00,15.00,55.00,1798.00,770.00,269.70000000,110.00,648.30000000
ORD00024,2026-03-27,Amazon,VV002,"VibeVastr Tee 2",3,899.00,347.00,18.00,65.00,2697.00,1041.00,485.46000000,195.00,975.54000000
ORD00025,2026-03-29,Meesho,VV021,"VibeVastr Tee 21",2,899.00,260.00,15.00,55.00,1798.00,520.00,269.70000000,110.00,898.30000000
ORD00026,2026-05-12,Flipkart,VV015,"VibeVastr Tee 15",1,899.00,373.00,20.00,70.00,899.00,373.00,179.80000000,70.00,276.20000000
ORD00027,2026-01-25,Meesho,VV016,"VibeVastr Tee 16",1,799.00,287.00,15.00,55.00,799.00,287.00,119.85000000,55.00,337.15000000
ORD00028,2026-04-04,Flipkart,VV011,"VibeVastr Tee 11",2,799.00,441.00,20.00,70.00,1598.00,882.00,319.60000000,140.00,256.40000000
ORD00029,2026-01-28,Flipkart,VV020,"VibeVastr Tee 20",2,799.00,424.00,20.00,70.00,1598.00,848.00,319.60000000,140.00,290.40000000
ORD00030,2026-06-04,Meesho,VV030,"VibeVastr Tee 30",1,899.00,330.00,15.00,55.00,899.00,330.00,134.85000000,55.00,379.15000000
ORD00031,2026-01-22,Meesho,VV011,"VibeVastr Tee 11",3,799.00,441.00,15.00,55.00,2397.00,1323.00,359.55000000,165.00,549.45000000
